"","V1","V2","V3","V4","V5","V6","V7"
"1",0.104395604395604,0.245421245421245,0.104395604395604,0.117216117216117,0.194139194139194,0.0915750915750916,0.142857142857143
"2",0.147465437788018,0.228110599078341,0.131336405529954,0.131336405529954,0.115207373271889,0.115207373271889,0.131336405529954
"3",0.133489461358314,0.182669789227166,0.166276346604215,0.117096018735363,0.133489461358314,0.117096018735363,0.149882903981265
"4",0.109815354713314,0.0962099125364431,0.0962099125364431,0.232264334305151,0.266277939747327,0.0689990281827016,0.13022351797862
"5",0.0947930574098798,0.12283044058745,0.0947930574098798,0.272363150867824,0.197596795727637,0.0854472630173565,0.132176234979973
"6",0.135455218356773,0.0629163582531458,0.166543301258327,0.0473723168023686,0.223538119911177,0.187268689859363,0.176905995558845
"7",0.0841836734693878,0.0960884353741497,0.0782312925170068,0.131802721088435,0.304421768707483,0.143707482993197,0.16156462585034
"8",0.0996677740863787,0.0764119601328904,0.117109634551495,0.053156146179402,0.262458471760797,0.117109634551495,0.274086378737542
"9",0.0956873315363881,0.227762803234501,0.180592991913747,0.171159029649596,0.11455525606469,0.0862533692722372,0.123989218328841
"10",0.0948660714285714,0.102678571428571,0.110491071428571,0.149553571428571,0.180803571428571,0.0870535714285714,0.274553571428571
"11",0.0894071914480078,0.0826044703595724,0.13022351797862,0.123420796890185,0.211856171039844,0.266277939747327,0.0962099125364431
"12",0.152641878669276,0.152641878669276,0.152641878669276,0.0978473581213307,0.111545988258317,0.166340508806262,0.166340508806262
"13",0.0890756302521008,0.0890756302521008,0.12436974789916,0.130252100840336,0.371428571428571,0.0831932773109244,0.112605042016807
"14",0.110435663627153,0.113981762917933,0.170719351570415,0.0749746707193516,0.181357649442756,0.2983789260385,0.0501519756838906
"15",0.0834635823694905,0.0484526414504533,0.175367302281963,0.0572053766802126,0.111909971866208,0.481713035323539,0.0418880900281338
"16",0.17102615694165,0.128772635814889,0.100603621730382,0.100603621730382,0.17102615694165,0.21327967806841,0.114688128772636
"17",0.128390596745027,0.141048824593128,0.141048824593128,0.115732368896926,0.141048824593128,0.242314647377939,0.0904159132007233
