"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0769230769230769,0.0897435897435897,0.0897435897435897,0.141025641025641,0.0769230769230769,0.128205128205128,0.0769230769230769,0.102564102564103,0.128205128205128,0.0897435897435897
"2",0.0806451612903226,0.129032258064516,0.0806451612903226,0.193548387096774,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0967741935483871,0.0967741935483871,0.0806451612903226
"3",0.114754098360656,0.0819672131147541,0.114754098360656,0.0983606557377049,0.114754098360656,0.114754098360656,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.0983606557377049
"4",0.0680272108843537,0.0748299319727891,0.0612244897959184,0.0816326530612245,0.0816326530612245,0.26530612244898,0.0884353741496599,0.0612244897959184,0.122448979591837,0.0952380952380952
"5",0.0467289719626168,0.0560747663551402,0.0747663551401869,0.0934579439252336,0.149532710280374,0.214953271028037,0.0841121495327103,0.0747663551401869,0.102803738317757,0.102803738317757
"6",0.0824742268041237,0.0876288659793814,0.0670103092783505,0.0515463917525773,0.0412371134020619,0.0876288659793814,0.247422680412371,0.0670103092783505,0.0721649484536082,0.195876288659794
"7",0.0357142857142857,0.0952380952380952,0.0654761904761905,0.125,0.119047619047619,0.130952380952381,0.136904761904762,0.113095238095238,0.0416666666666667,0.136904761904762
"8",0.0751445086705202,0.0751445086705202,0.0809248554913295,0.0635838150289017,0.121387283236994,0.15606936416185,0.0867052023121387,0.0751445086705202,0.15606936416185,0.109826589595376
"9",0.10377358490566,0.0754716981132075,0.245283018867925,0.132075471698113,0.0849056603773585,0.0943396226415094,0.0566037735849057,0.0660377358490566,0.0849056603773585,0.0566037735849057
"10",0.0546875,0.0703125,0.0859375,0.1484375,0.1484375,0.0703125,0.0703125,0.0546875,0.1640625,0.1328125
"11",0.0612244897959184,0.0884353741496599,0.0612244897959184,0.108843537414966,0.0408163265306122,0.108843537414966,0.197278911564626,0.108843537414966,0.0680272108843537,0.156462585034014
